Sex,Age,Length
1,7,57.51808
1,33,87.04459
2,7,74.32241
2,1,29.69207
2,31,120.2029
1,30,78.25303
1,10,67.2168
2,13,101.0358
2,7,78.1776
2,35,132.3061
1,27,107.0326
2,8,77.16505
1,24,83.04295
1,46,119.7604
1,38,113.0029
1,19,80.52408
2,36,104.8487
2,28,119.7076
1,1,6.475671
2,27,113.8016
1,2,38.43588
2,41,112.3848
1,21,96.28514
1,46,121.6375
1,32,101.7448
2,9,83.63897
1,46,101.4904
2,34,98.63283
1,13,71.50858
1,25,113.6704
2,2,49.66876
2,28,119.8914
2,42,95.61052
2,22,120.5452
2,5,77.92243
1,31,95.91126
1,18,66.74442
1,7,52.52602
1,10,71.25958
2,34,106.7729
1,25,112.8934
2,19,122.4076
2,23,101.3863
2,2,41.9311
1,26,94.29129
2,41,135.6038
1,25,95.57814
1,33,104.3382
2,15,101.8061
2,32,121.6869
1,38,101.1677
1,14,62.28548
2,34,108.2428
1,19,85.79378
1,25,92.4545
2,45,114.577
1,4,45.1176
1,28,95.66213
2,26,99.59947
1,44,87.65075
2,9,92.35214
2,28,142.4652
1,41,83.07737
1,39,99.94956
1,40,97.02499
1,4,40.53681
1,34,101.1599
1,35,95.71634
1,40,106.7924
2,9,79.3135
1,43,127.7615
1,7,43.42769
2,2,27.59027
2,36,125.6934
2,17,96.83629
2,23,99.07826
2,13,92.69389
1,29,86.92906
2,10,95.15312
1,3,25.10526
2,43,125.7784
2,12,91.56149
1,33,102.4311
2,12,95.06821
1,4,37.63437
1,27,97.1271
1,6,28.55416
1,14,76.73969
1,6,56.3901
1,1,14.21677
1,39,104.6974
1,2,2.977991
2,12,85.98545
1,27,93.84375
2,13,94.07341
1,2,15.32432
1,43,103.6852
2,37,129.132
1,15,88.08342
2,44,126.1878
