Year	R	S
1968	430.3	234.0
1969	370.9	222.7
1970	354.1	208.8
1971	306.7	184.2
1972	240.0	199.0
1973	264.8	212.0
1974	322.3	263.0
1975	432.1	339.5
1976	506.9	355.6
1977	303.7	326.9
1978	293.4	379.2
1979	479.0	579.7
1980	829.4	696.7
1981	615.4	666.1
1982	425.9	670.9
1983	689.8	645.3
1984	693.6	657.7
1985	472.4	544.9
1986	302.9	399.4
1987	253.1	320.5
1988	260.2	299.3
1989	368.1	240.3
1990	224.3	216.0
1991	122.5	151.6
1992	128.4	92.9
1993	82.8	112.7
1994	136.4	191.7
1995	182.0	237.0
1996	127.2	163.7
1997	119.6	135.5
1998	115.5	109.0
1999	88.1	90.2
2000	149.2	115.9
2001	152.3	104.2
2002	174.9	83.1
2003	135.8	80.4
2004	122.5	79.5
2005	112.7	65.6
2006	115.1	83.5
2007	164.2	101.7
2008	131.0	119.4
2009	143.8	184.0
2010	158.5	208.2
2011	161.8	211.3
